Strain	0	1	2	3	4	5
USA/ME-HETL-J0011/2020	9	8	2	2	2	2
USA/ME-HETL-J0012/2020	9	8	2	2	2	2
USA/ME-HETL-J0013/2020	70	59	50	42	2	2
USA/ME-HETL-J0014/2020	50	41	33	27	11	2
USA/ME-HETL-J0015/2020	9	8	2	2	2	2
USA/ME-HETL-J0016/2020	11	10	7	7	6	1
USA/ME-HETL-J0017/2020	70	59	50	42	2	2
USA/ME-HETL-J0018/2020	9	8	2	2	2	2
USA/ME-HETL-J0019/2020	9	8	2	2	2	2
USA/ME-HETL-J0020/2020	7	6	2	2	2	2
USA/ME-HETL-J0022/2020	7	6	2	2	2	2
USA/ME-HETL-J0023/2020	7	6	2	2	2	2
USA/ME-HETL-J0024/2020	9	8	2	2	2	2
USA/ME-HETL-J0026/2020	7	6	2	2	2	2
USA/ME-HETL-J0029/2020	24	8	2	2	2	2
USA/ME-HETL-J0040/2020	9	8	2	2	2	2
USA/ME-HETL-J0042/2020	9	8	2	2	2	2
USA/ME-HETL-J0053/2020	11	10	7	7	6	1
USA/ME-HETL-J0054/2020	9	8	2	2	2	2
USA/ME-HETL-J0057/2020	9	8	2	2	2	2
USA/MI-MDHHS-SC2-0008/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20001/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20002/2020	71	60	51	8	2	2
USA/MI-MDHHS-SC20003/2020	11	10	7	7	6	1
USA/MI-MDHHS-SC20004/2020	39	32	25	22	10	1
USA/MI-MDHHS-SC20005/2020	9	8	2	2	2	2
USA/MI-MDHHS-SC20006/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20009/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20010/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20011/2020	9	8	2	2	2	2
USA/MI-MDHHS-SC20012/2020	9	8	2	2	2	2
USA/MI-MDHHS-SC20013/2020	56	46	38	8	2	2
USA/MI-MDHHS-SC20014/2020	9	8	2	2	2	2
USA/MI-MDHHS-SC20015/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20016/2020	70	59	50	42	2	2
USA/MI-MDHHS-SC20017/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20018/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20019/2020	9	8	2	2	2	2
USA/MI-MDHHS-SC20020/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20025/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20029/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20100/2020	11	10	7	7	6	1
USA/MI-MDHHS-SC20113/2020	59	49	41	8	2	2
USA/MI-MDHHS-SC20120/2020	70	59	50	42	2	2
USA/MI-MDHHS-SC20122/2020	24	8	2	2	2	2
USA/MI-MDHHS-SC20127/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20129/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20130/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20131/2020	9	8	2	2	2	2
USA/MI-MDHHS-SC20136/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20150/2020	72	61	52	43	2	2
USA/MI-MDHHS-SC20158/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20162/2020	36	29	22	8	2	2
USA/MI-MDHHS-SC20169/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20176/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20179/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20189/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20190/2020	24	8	2	2	2	2
USA/MI-MDHHS-SC20198/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20216/2020	73	7	5	5	4	1
USA/MI-MDHHS-SC20218/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20221/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20224/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20257/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20260/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20292/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20295/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20296/2020	3	3	3	3	3	2
USA/MI-MDHHS-SC20299/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20300/2020	9	8	2	2	2	2
USA/MI-MDHHS-SC20309/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20310/2020	3	3	3	3	3	2
USA/MI-MDHHS-SC20314/2020	13	3	3	3	3	2
USA/MI-MDHHS-SC20319/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20322/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20323/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20324/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20325/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20326/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20327/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20359/2020	59	49	41	8	2	2
USA/MI-MDHHS-SC20360/2020	72	61	52	43	2	2
USA/MI-MDHHS-SC20361/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20362/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20363/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20364/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20365/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20366/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20367/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20368/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20369/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20376/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20411/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20412/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20413/2020	21	16	9	8	2	2
USA/MI-MDHHS-SC20414/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20419/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20435/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20437/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20438/2020	59	49	41	8	2	2
USA/MI-MDHHS-SC20439/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20440/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20441/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20442/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20443/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20446/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20733/2020	74	62	53	44	14	1
USA/MI-MDHHS-SC20937/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20939/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC20954/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21378/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21399/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21402/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21465/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21466/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21540/2020	24	8	2	2	2	2
USA/MI-MDHHS-SC21541/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21542/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21814/2020	24	8	2	2	2	2
USA/MI-MDHHS-SC21815/2020	24	8	2	2	2	2
USA/MI-MDHHS-SC21816/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21817/2020	20	9	6	6	5	2
USA/MI-MDHHS-SC21818/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21819/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21821/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21822/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21823/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21900/2020	73	7	5	5	4	1
USA/MI-MDHHS-SC21910/2020	59	49	41	8	2	2
USA/MI-MDHHS-SC21956/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21970/2020	7	6	2	2	2	2
USA/MI-MDHHS-SC21973/2020	7	6	2	2	2	2
USA/MI-QDX-1909/2020	11	10	7	7	6	1
USA/MI-QDX-1943/2020	11	10	7	7	6	1
USA/MI-QDX-1960/2020	7	6	2	2	2	2
USA/MI-QDX-216/2020	75	63	54	45	2	2
USA/MI-QDX-2193/2020	7	6	2	2	2	2
USA/MI-QDX-2197/2020	7	6	2	2	2	2
USA/MI-QDX-2199/2020	34	27	20	18	8	1
USA/MI-QDX-2206/2020	39	32	25	22	10	1
USA/MI-QDX-2212/2020	7	6	2	2	2	2
USA/MI-QDX-2221/2020	7	6	2	2	2	2
USA/MI-QDX-2232/2020	72	61	52	43	2	2
USA/MI-QDX-2251/2020	7	6	2	2	2	2
USA/MI-QDX-2252/2020	11	10	7	7	6	1
USA/MI-QDX-2255/2020	7	6	2	2	2	2
USA/MI-QDX-2261/2020	40	33	3	3	3	2
USA/MI-QDX-2271/2020	72	61	52	43	2	2
USA/MI-QDX-2284/2020	7	6	2	2	2	2
USA/MI-QDX-2298/2020	7	6	2	2	2	2
USA/MI-QDX-2306/2020	7	6	2	2	2	2
USA/MI-QDX-2312/2020	7	6	2	2	2	2
USA/MI-QDX-2316/2020	7	6	2	2	2	2
USA/MI-QDX-2360/2020	7	6	2	2	2	2
USA/MI-QDX-2372/2020	7	6	2	2	2	2
USA/MI-QDX-2399/2020	7	6	2	2	2	2
USA/MI-QDX-26/2020	7	6	2	2	2	2
USA/MI-QDX-28/2020	7	6	2	2	2	2
USA/MI-QDX-52/2020	7	6	2	2	2	2
USA/MI-QDX-58/2020	34	27	20	18	8	1
USA/MI-QDX-70/2020	7	6	2	2	2	2
USA/MI-QDX-71/2020	7	6	2	2	2	2
USA/MI-QDX-828/2020	7	6	2	2	2	2
USA/MI-SC2-0007/2020	7	6	2	2	2	2
USA/MI-SC2-0008/2020	7	6	2	2	2	2
USA/MI-UM-MH27428/2020	7	6	2	2	2	2
USA/MI-UM-MH27455/2020	76	64	55	46	2	2
USA/MN-CDC-0103/2020	36	29	22	8	2	2
USA/MN-CDC-0106/2020	11	10	7	7	6	1
USA/MN-CDC-0108/2020	62	27	20	18	8	1
USA/MN-CDC-KCCH-3700/2020	9	8	2	2	2	2
USA/MN-MDH-103/2020	11	10	7	7	6	1
USA/MN-MDH-104/2020	11	10	7	7	6	1
USA/MN-MDH-106/2020	31	24	17	15	2	2
USA/MN-MDH-1202/2020	11	10	7	7	6	1
USA/MN-MDH-125/2020	36	29	22	8	2	2
USA/MN-MDH-126/2020	7	6	2	2	2	2
USA/MN-MDH-1267/2020	11	10	7	7	6	1
USA/MN-MDH-1268/2020	28	21	14	8	2	2
USA/MN-MDH-1269/2020	7	6	2	2	2	2
USA/MN-MDH-1270/2020	1	1	1	1	1	1
USA/MN-MDH-1271/2020	11	10	7	7	6	1
USA/MN-MDH-1272/2020	7	6	2	2	2	2
USA/MN-MDH-1273/2020	11	10	7	7	6	1
USA/MN-MDH-1274/2020	36	29	22	8	2	2
USA/MN-MDH-1275/2020	11	10	7	7	6	1
USA/MN-MDH-1276/2020	7	6	2	2	2	2
USA/MN-MDH-1277/2020	9	8	2	2	2	2
USA/MN-MDH-1278/2020	13	3	3	3	3	2
USA/MN-MDH-1279/2020	9	8	2	2	2	2
USA/MN-MDH-1280/2020	11	10	7	7	6	1
USA/MN-MDH-1311/2020	36	29	22	8	2	2
USA/MN-MDH-70/2020	21	16	9	8	2	2
USA/MN-MDH-71/2020	36	29	22	8	2	2
USA/MN-MDH-83/2020	7	6	2	2	2	2
USA/MN-MDH-84/2020	11	10	7	7	6	1
USA/MN-MDH-85/2020	21	16	9	8	2	2
USA/MN-MDH-91/2020	34	27	20	18	8	1
USA/MN-MDH-92/2020	38	31	24	21	9	2
USA/MN-MDH-93/2020	21	16	9	8	2	2
USA/MN-MDH-94/2020	3	3	3	3	3	2
USA/MN-MDH-95/2020	7	6	2	2	2	2
USA/MN-QDX-1000/2020	9	8	2	2	2	2
USA/MN-QDX-1001/2020	7	6	2	2	2	2
USA/MN-QDX-1002/2020	7	6	2	2	2	2
USA/MN-QDX-1003/2020	65	54	46	38	2	2
USA/MN-QDX-1005/2020	65	54	46	38	2	2
USA/MN-QDX-1006/2020	7	6	2	2	2	2
USA/MN-QDX-1008/2020	65	54	46	38	2	2
USA/MN-QDX-1009/2020	65	54	46	38	2	2
USA/MN-QDX-1010/2020	65	54	46	38	2	2
USA/MN-QDX-1011/2020	7	6	2	2	2	2
USA/MN-QDX-1012/2020	65	54	46	38	2	2
USA/MN-QDX-1015/2020	7	6	2	2	2	2
USA/MN-QDX-1016/2020	77	65	56	47	2	2
USA/MN-QDX-1017/2020	7	6	2	2	2	2
USA/MN-QDX-1018/2020	7	6	2	2	2	2
USA/MN-QDX-1019/2020	7	6	2	2	2	2
USA/MN-QDX-1020/2020	7	6	2	2	2	2
USA/MN-QDX-1022/2020	65	54	46	38	2	2
USA/MN-QDX-1023/2020	65	54	46	38	2	2
USA/MN-QDX-1024/2020	77	65	56	47	2	2
USA/MN-QDX-1026/2020	77	65	56	47	2	2
USA/MN-QDX-1316/2020	65	54	46	38	2	2
USA/MN-QDX-1317/2020	7	6	2	2	2	2
USA/MN-QDX-1319/2020	7	6	2	2	2	2
USA/MN-QDX-1320/2020	65	54	46	38	2	2
USA/MN-QDX-1321/2020	7	6	2	2	2	2
USA/MN-QDX-1322/2020	65	54	46	38	2	2
USA/MN-QDX-1323/2020	77	65	56	47	2	2
USA/MN-QDX-1325/2020	65	54	46	38	2	2
USA/MN-QDX-1328/2020	78	66	57	48	2	2
USA/MN-QDX-1331/2020	65	54	46	38	2	2
USA/MN-QDX-1332/2020	77	65	56	47	2	2
USA/MN-QDX-1334/2020	65	54	46	38	2	2
USA/MN-QDX-1335/2020	7	6	2	2	2	2
USA/MN-QDX-1336/2020	7	6	2	2	2	2
USA/MN-QDX-1337/2020	65	54	46	38	2	2
USA/MN-QDX-1338/2020	7	6	2	2	2	2
USA/MN-QDX-1340/2020	65	54	46	38	2	2
USA/MN-QDX-1342/2020	34	27	20	18	8	1
USA/MN-QDX-1343/2020	7	6	2	2	2	2
USA/MN-QDX-1344/2020	7	6	2	2	2	2
USA/MN-QDX-1345/2020	77	65	56	47	2	2
USA/MN-QDX-1346/2020	65	54	46	38	2	2
USA/MN-QDX-1347/2020	7	6	2	2	2	2
USA/MN-QDX-1348/2020	7	6	2	2	2	2
USA/MN-QDX-1349/2020	77	65	56	47	2	2
USA/MN-QDX-1350/2020	7	6	2	2	2	2
USA/MN-QDX-1351/2020	77	65	56	47	2	2
USA/MN-QDX-1352/2020	77	65	56	47	2	2
USA/MN-QDX-1353/2020	65	54	46	38	2	2
USA/MN-QDX-1354/2020	7	6	2	2	2	2
USA/MN-QDX-1355/2020	65	54	46	38	2	2
USA/MN-QDX-1356/2020	7	6	2	2	2	2
USA/MN-QDX-1357/2020	7	6	2	2	2	2
USA/MN-QDX-1358/2020	65	54	46	38	2	2
USA/MN-QDX-1359/2020	65	54	46	38	2	2
USA/MN-QDX-1360/2020	77	65	56	47	2	2
USA/MN-QDX-1361/2020	65	54	46	38	2	2
USA/MN-QDX-1362/2020	7	6	2	2	2	2
USA/MN-QDX-1363/2020	65	54	46	38	2	2
USA/MN-QDX-1364/2020	7	6	2	2	2	2
USA/MN-QDX-1365/2020	7	6	2	2	2	2
USA/MN-QDX-1366/2020	77	65	56	47	2	2
USA/MN-QDX-1367/2020	7	6	2	2	2	2
USA/MN-QDX-1369/2020	7	6	2	2	2	2
USA/MN-QDX-1371/2020	77	65	56	47	2	2
USA/MN-QDX-1372/2020	77	65	56	47	2	2
USA/MN-QDX-1373/2020	65	54	46	38	2	2
USA/MN-QDX-1374/2020	65	54	46	38	2	2
USA/MN-QDX-1376/2020	7	6	2	2	2	2
USA/MN-QDX-1377/2020	7	6	2	2	2	2
USA/MN-QDX-1378/2020	7	6	2	2	2	2
USA/MN-QDX-1379/2020	77	65	56	47	2	2
USA/MN-QDX-1380/2020	7	6	2	2	2	2
USA/MN-QDX-1381/2020	24	8	2	2	2	2
USA/MN-QDX-1382/2020	65	54	46	38	2	2
USA/MN-QDX-1383/2020	65	54	46	38	2	2
USA/MN-QDX-1385/2020	65	54	46	38	2	2
USA/MN-QDX-1388/2020	7	6	2	2	2	2
USA/MN-QDX-1389/2020	77	65	56	47	2	2
USA/MN-QDX-1390/2020	7	6	2	2	2	2
USA/MN-QDX-1706/2020	7	6	2	2	2	2
USA/MN-QDX-1724/2020	7	6	2	2	2	2
USA/MN-QDX-1732/2020	65	54	46	38	2	2
USA/MN-QDX-1778/2020	77	65	56	47	2	2
USA/MN-QDX-1996/2020	7	6	2	2	2	2
USA/MN-QDX-2011/2020	65	54	46	38	2	2
USA/MN-QDX-2030/2020	65	54	46	38	2	2
USA/MN-QDX-2036/2020	7	6	2	2	2	2
USA/MN-QDX-2041/2020	65	54	46	38	2	2
USA/MN-QDX-2042/2020	65	54	46	38	2	2
USA/MN-QDX-2053/2020	7	6	2	2	2	2
USA/MN-QDX-2054/2020	7	6	2	2	2	2
USA/MN-QDX-2059/2020	65	54	46	38	2	2
USA/MN-QDX-2258/2020	34	27	20	18	8	1
USA/MN-QDX-2265/2020	34	27	20	18	8	1
USA/MN-QDX-2565/2020	7	6	2	2	2	2
USA/MN-QDX-2611/2020	21	16	9	8	2	2
USA/MN-QDX-2704/2020	65	54	46	38	2	2
USA/MN-QDX-2715/2020	7	6	2	2	2	2
USA/MN-QDX-2716/2020	65	54	46	38	2	2
USA/MN-QDX-2717/2020	7	6	2	2	2	2
USA/MN-QDX-2719/2020	7	6	2	2	2	2
USA/MN-QDX-2725/2020	65	54	46	38	2	2
USA/MN-QDX-2726/2020	7	6	2	2	2	2
USA/MN-QDX-2727/2020	34	27	20	18	8	1
USA/MN-QDX-2730/2020	7	6	2	2	2	2
USA/MN-QDX-2736/2020	65	54	46	38	2	2
USA/MN-QDX-2738/2020	24	8	2	2	2	2
USA/MN-QDX-954/2020	77	65	56	47	2	2
USA/MN-QDX-959/2020	9	8	2	2	2	2
USA/MN-QDX-960/2020	65	54	46	38	2	2
USA/MN-QDX-962/2020	7	6	2	2	2	2
USA/MN-QDX-965/2020	7	6	2	2	2	2
USA/MN-QDX-966/2020	65	54	46	38	2	2
USA/MN-QDX-967/2020	65	54	46	38	2	2
USA/MN-QDX-968/2020	7	6	2	2	2	2
USA/MN-QDX-969/2020	7	6	2	2	2	2
USA/MN-QDX-970/2020	7	6	2	2	2	2
USA/MN-QDX-971/2020	77	65	56	47	2	2
USA/MN-QDX-972/2020	7	6	2	2	2	2
USA/MN-QDX-973/2020	77	65	56	47	2	2
USA/MN-QDX-974/2020	7	6	2	2	2	2
USA/MN-QDX-975/2020	77	65	56	47	2	2
USA/MN-QDX-976/2020	7	6	2	2	2	2
USA/MN-QDX-977/2020	7	6	2	2	2	2
USA/MN-QDX-979/2020	7	6	2	2	2	2
USA/MN-QDX-980/2020	7	6	2	2	2	2
USA/MN-QDX-981/2020	79	67	58	49	2	2
USA/MN-QDX-982/2020	7	6	2	2	2	2
USA/MN-QDX-983/2020	65	54	46	38	2	2
USA/MN-QDX-985/2020	7	6	2	2	2	2
USA/MN-QDX-986/2020	65	54	46	38	2	2
USA/MN-QDX-987/2020	7	6	2	2	2	2
USA/MN-QDX-988/2020	7	6	2	2	2	2
USA/MN-QDX-989/2020	65	54	46	38	2	2
USA/MN-QDX-990/2020	7	6	2	2	2	2
USA/MN-QDX-991/2020	7	6	2	2	2	2
USA/MN-QDX-992/2020	7	6	2	2	2	2
USA/MN-QDX-994/2020	65	54	46	38	2	2
USA/MN-QDX-995/2020	7	6	2	2	2	2
USA/MN-QDX-996/2020	7	6	2	2	2	2
USA/MN-QDX-997/2020	7	6	2	2	2	2
USA/MN-QDX-998/2020	77	65	56	47	2	2
USA/MN-QDX-999/2020	77	65	56	47	2	2
USA/MN-UW-628/2020	34	27	20	18	8	1
USA/MN-UW243/2020	7	6	2	2	2	2
USA/MN-UW251/2020	65	54	46	38	2	2
USA/MN-UW257/2020	7	6	2	2	2	2
USA/MN-UW264/2020	7	6	2	2	2	2
USA/MN-UW266/2020	7	6	2	2	2	2
USA/MN-UW326/2020	65	54	46	38	2	2
USA/MN-UW334/2020	11	10	7	7	6	1
USA/MN-UW335/2020	7	6	2	2	2	2
USA/MN1-MDH1/2020	11	10	7	7	6	1
USA/MN124-MDH124/2020	7	6	2	2	2	2
USA/MN2-MDH2/2020	80	68	59	50	15	2
USA/MN25-MDH25/2020	24	8	2	2	2	2
USA/MN26-MDH26/2020	11	10	7	7	6	1
USA/MN29-MDH29/2020	36	29	22	8	2	2
USA/MN3-MDH3/2020	11	10	7	7	6	1
USA/MN30-MDH30/2020	9	8	2	2	2	2
USA/MN31-MDH31/2020	7	6	2	2	2	2
USA/MN32-MDH32/2020	9	8	2	2	2	2
USA/MN34-MDH34/2020	2	2	2	2	2	2
USA/MN35-MDH35/2020	9	8	2	2	2	2
USA/MN36-MDH36/2020	9	8	2	2	2	2
USA/MN38-MDH38/2020	81	69	60	51	2	2
USA/MN39-MDH39/2020	82	31	24	21	9	2
USA/MN4-MDH4/2020	5	3	3	3	3	2
USA/MN40-MDH40/2020	7	6	2	2	2	2
USA/MN41-MDH41/2020	11	10	7	7	6	1
USA/MN42-MDH42/2020	5	3	3	3	3	2
USA/MN43-MDH43/2020	5	3	3	3	3	2
USA/MN44-MDH44/2020	11	10	7	7	6	1
USA/MN45-MDH45/2020	7	6	2	2	2	2
USA/MN46-MDH46/2020	9	8	2	2	2	2
USA/MN47-MDH47/2020	2	2	2	2	2	2
USA/MN48-MDH48/2020	9	8	2	2	2	2
USA/MN5-MDH5/2020	36	29	22	8	2	2
USA/MN51-MDH51/2020	9	8	2	2	2	2
USA/MN52-MDH52/2020	81	69	60	51	2	2
USA/MN53-MDH53/2020	82	31	24	21	9	2
USA/MN55-MDH55/2020	7	6	2	2	2	2
USA/MN56-MDH56/2020	11	10	7	7	6	1
USA/MN57-MDH57/2020	5	3	3	3	3	2
USA/MN58-MDH58/2020	5	3	3	3	3	2
USA/MN59-MDH59/2020	11	10	7	7	6	1
USA/MN60-MDH60/2020	7	6	2	2	2	2
USA/MN62-MDH62/2020	21	16	9	8	2	2
USA/MN63-MDH63/2020	11	10	7	7	6	1
USA/MN64-MDH64/2020	11	10	7	7	6	1
USA/MN65-MDH65/2020	9	8	2	2	2	2
USA/MN66-MDH66/2020	7	6	2	2	2	2
USA/MN67-MDH67/2020	83	70	61	52	2	2
USA/MN68-MDH68/2020	36	29	22	8	2	2
USA/MN69-MDH69/2020	21	16	9	8	2	2
USA/MN_0100/2020	11	10	7	7	6	1
USA/MN_0101/2020	80	68	59	50	15	2
USA/MO-QDX-2460/2020	21	16	9	8	2	2
USA/MO-QDX-2516/2020	11	10	7	7	6	1
USA/MO-QDX-2566/2020	11	10	7	7	6	1
USA/MO-QDX-2567/2020	84	71	62	53	16	2
USA/MO-QDX-2573/2020	9	8	2	2	2	2
USA/MO-QDX-2574/2020	9	8	2	2	2	2
USA/MO-QDX-2582/2020	36	29	22	8	2	2
USA/MO-QDX-2587/2020	85	72	63	8	2	2
USA/MO-QDX-2595/2020	84	71	62	53	16	2
USA/MO-QDX-2612/2020	9	8	2	2	2	2
USA/MO-QDX-2613/2020	21	16	9	8	2	2
USA/MO-QDX-2616/2020	44	37	29	24	2	2
USA/MO-QDX-2679/2020	36	29	22	8	2	2
USA/MO_4470/2020	21	16	9	8	2	2
USA/MS-CDC-6566/2020	34	27	20	18	8	1
USA/MS-CDC-6567/2020	7	6	2	2	2	2
USA/MS-CDC-6568/2020	34	27	20	18	8	1
USA/MS-CDC-6569/2020	7	6	2	2	2	2
USA/MS-CDC-6570/2020	7	6	2	2	2	2
USA/MS-CDC-6571/2020	65	54	46	38	2	2
USA/MS-CDC-6572/2020	7	6	2	2	2	2
USA/MS-CDC-6573/2020	65	54	46	38	2	2
USA/MS-CDC-6574/2020	34	27	20	18	8	1
USA/MT-CDC-2-3850606/2020	86	73	46	38	2	2
USA/NC-CDC-0034/2020	24	8	2	2	2	2
USA/NC-CDC-6999/2020	11	10	7	7	6	1
USA/NC-DFS-PHL-0005/2020	9	8	2	2	2	2
USA/NC-DFS-PHL-0006/2020	9	8	2	2	2	2
USA/NC_0024/2020	24	8	2	2	2	2
USA/NC_0025/2020	24	8	2	2	2	2
USA/NC_0031/2020	24	8	2	2	2	2
USA/NC_200173/2020	7	6	2	2	2	2
USA/NC_200181/2020	34	27	20	18	8	1
USA/NC_200189/2020	7	6	2	2	2	2
USA/NC_200191/2020	7	6	2	2	2	2
USA/NC_200213/2020	7	6	2	2	2	2
USA/NC_200214/2020	7	6	2	2	2	2
USA/NC_200215/2020	7	6	2	2	2	2
USA/NC_200216/2020	25	18	11	10	2	2
USA/NC_200217/2020	7	6	2	2	2	2
USA/NC_200219/2020	7	6	2	2	2	2
USA/NC_200222/2020	7	6	2	2	2	2
USA/NC_200238/2020	7	6	2	2	2	2
USA/NC_200241/2020	7	6	2	2	2	2
USA/NC_200242/2020	34	27	20	18	8	1
USA/NC_200243/2020	34	27	20	18	8	1
USA/NC_200244/2020	7	6	2	2	2	2
USA/NC_200245/2020	7	6	2	2	2	2
USA/NC_200247/2020	11	10	7	7	6	1
USA/NC_200252/2020	11	10	7	7	6	1
USA/NC_200253/2020	34	27	20	18	8	1
USA/NC_200254/2020	7	6	2	2	2	2
USA/NC_200255/2020	34	27	20	18	8	1
USA/NC_200256/2020	7	6	2	2	2	2
USA/NC_200259/2020	34	27	20	18	8	1
USA/NC_200300/2020	11	10	7	7	6	1
USA/NC_200306/2020	7	6	2	2	2	2
USA/NC_200310/2020	9	8	2	2	2	2
USA/NC_200312/2020	34	27	20	18	8	1
USA/NC_200318/2020	87	74	64	54	2	2
USA/NC_200319/2020	7	6	2	2	2	2
USA/NC_200323/2020	11	10	7	7	6	1
USA/NC_200325/2020	7	6	2	2	2	2
USA/NC_200326/2020	7	6	2	2	2	2
USA/NC_200330/2020	34	27	20	18	8	1
USA/NC_200331/2020	7	6	2	2	2	2
USA/NC_200340/2020	7	6	2	2	2	2
USA/NC_200386/2020	7	6	2	2	2	2
USA/NC_6999/2020	11	10	7	7	6	1
USA/NE_6605/2020	50	41	33	27	11	2
USA/NE_7025/2020	50	41	33	27	11	2
USA/NH_0004/2020	88	75	65	55	2	2
USA/NH_0008/2020	88	75	65	55	2	2
USA/NH_0029/2020	9	8	2	2	2	2
USA/NH_0033/2020	88	75	65	55	2	2
USA/NJ-CDC-3036/2020	7	6	2	2	2	2
USA/NJ-CDC-7300/2020	89	76	66	56	2	2
USA/NJ-PV09361/2020	7	6	2	2	2	2
USA/NJ-QDX-1185/2020	7	6	2	2	2	2
USA/NJ-QDX-123/2020	24	8	2	2	2	2
USA/NJ-QDX-1269/2020	24	8	2	2	2	2
USA/NJ-QDX-133/2020	24	8	2	2	2	2
USA/NJ-QDX-141/2020	24	8	2	2	2	2
USA/NJ-QDX-144/2020	7	6	2	2	2	2
USA/NJ-QDX-1883/2020	7	6	2	2	2	2
USA/NJ-QDX-1886/2020	90	77	67	57	2	2
USA/NJ-QDX-1887/2020	7	6	2	2	2	2
USA/NJ-QDX-1900/2020	24	8	2	2	2	2
USA/NJ-QDX-1957/2020	13	3	3	3	3	2
USA/NJ-QDX-1968/2020	24	8	2	2	2	2
USA/NJ-QDX-1974/2020	7	6	2	2	2	2
USA/NJ-QDX-2190/2020	9	8	2	2	2	2
