Strain	0	1	2	3	4	5
Hunan/HN-CIDC-P7/2020	3	3	3	3	3	2
Hunan/HN-CIDC-P8/2020	3	3	3	3	3	2
Jian/JX129/2020	3	3	3	3	3	2
Jian/JX169/2020	5	3	3	3	3	2
Jiangsu/IVDC-JS-001/2020	3	3	3	3	3	2
Jiangsu/JS01/2020	3	3	3	3	3	2
Jiangsu/JS02/2020	3	3	3	3	3	2
Jiangsu/JS03/2020	3	3	3	3	3	2
Jiujiang/JX22/2020	1	1	1	1	1	1
Jiujiang/JX490/2020	3	3	3	3	3	2
Lishui/LS003/2020	3	3	3	3	3	2
Lishui/LS111/2020	3	3	3	3	3	2
Lishui/LS556/2020	3	3	3	3	3	2
Lishui/LS557/2020	1	1	1	1	1	1
Lishui/LS559/2020	1	1	1	1	1	1
Lu-an/03/2020	5	3	3	3	3	2
Lu-an/08/2020	3	3	3	3	3	2
Lu-an/101/2020	3	3	3	3	3	2
Lu-an/110/2020	3	3	3	3	3	2
Lu-an/133/2020	3	3	3	3	3	2
Lu-an/163/2020	3	3	3	3	3	2
Lu-an/176/2020	14	12	3	3	3	2
Lu-an/19/2020	1	1	1	1	1	1
Lu-an/195/2020	3	3	3	3	3	2
Lu-an/226/2020	3	3	3	3	3	2
Lu-an/235/2020	5	3	3	3	3	2
Lu-an/247/2020	3	3	3	3	3	2
Lu-an/29/2020	3	3	3	3	3	2
Lu-an/295/2020	3	3	3	3	3	2
Lu-an/30/2020	3	3	3	3	3	2
Lu-an/319/2020	5	3	3	3	3	2
Lu-an/32/2020	5	3	3	3	3	2
Lu-an/33/2020	1	1	1	1	1	1
Lu-an/339/2020	3	3	3	3	3	2
Lu-an/352/2020	3	3	3	3	3	2
Lu-an/353/2020	3	3	3	3	3	2
Lu-an/359/2020	3	3	3	3	3	2
Lu-an/409/2020	5	3	3	3	3	2
Lu-an/425/2020	3	3	3	3	3	2
Lu-an/426/2020	3	3	3	3	3	2
Lu-an/445/2020	3	3	3	3	3	2
Lu-an/470/2020	3	3	3	3	3	2
Lu-an/49/2020	3	3	3	3	3	2
Lu-an/570/2020	3	3	3	3	3	2
Lu-an/625/2020	5	3	3	3	3	2
Lu-an/678/2020	3	3	3	3	3	2
Lu-an/68/2020	1	1	1	1	1	1
Lu-an/733/2020	3	3	3	3	3	2
Lu-an/777/2020	3	3	3	3	3	2
Lu-an/80/2020	3	3	3	3	3	2
Lu-an/98/2020	3	3	3	3	3	2
Lu-an/99/2020	3	3	3	3	3	2
