Strain	Source	Country	Province	City	Latitude	Longitude	Day	Month	Year	TP1	TP2
Wales/PHWC-16E825/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	4	10	2020	1	1
Switzerland/SZ-ETHZ-471095/2021	Cow_Farm	Switzerland	Schwyz	0	47.0210342	8.6536007	27	1	2021	0	1
Germany/SN-RKI-I-012790/2021	Cow_Farm	Germany	Saxony	0	51.0523453	13.3484688	25	1	2021	0	1
Spain/MD-IBV-99020798/2021	Cow_Farm	Spain	Madrid	Madrid	40.4166908	-3.700346	21	1	2021	0	1
Switzerland/SH-ETHZ-490006/2021	Cow_Farm	Switzerland	Schaffhausen	0	47.6975441	8.6351728	8	2	2021	0	1
Switzerland/BE-ETHZ-300281/2020	Cow_Farm	Switzerland	Bern	0	46.9480019	7.4481311	1	10	2020	1	1
Netherlands/LI-MUMC-102/2020	Cow_Farm	Netherlands	Limburg	Beekdaelen	50.975752	5.335691	19	11	2020	0	1
Scotland/QEUH-A0273C/2020	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	28	9	2020	1	1
Scotland/QEUH-C1489C/2020	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	6	12	2020	0	1
Scotland/QEUH-A0C35C/2020	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	3	10	2020	1	1
Wales/PHWC-482CC2/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	21	10	2020	0	1
Iceland/5540/2020	Cow_Farm	Iceland	Reykjavik	0	64.1472092	-21.9424	2	11	2020	0	1
Germany/SN-RKI-I-024765/2021	Cow_Farm	Germany	Saxony	0	51.0523453	13.3484688	15	2	2021	0	1
Scotland/CVR4089/2020	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	31	8	2020	1	1
Switzerland/BS-UHB-42506666/2020	Cow_Farm	Switzerland	Basel-Stadt	Basel	47.5648575	7.6152802	27	10	2020	0	1
Spain/CE-ISCIII-2016496/2020	Cow_Farm	Spain	Ceuta	0	35.8882408	-5.316184	14	10	2020	1	1
Germany/NW-RKI-I-027541/2021	Cow_Farm	Germany	North Rhine Westphalia	0	51.4796906	7.5623112	16	2	2021	0	1
Portugal/PT3555/2021	Cow_Farm	Portugal	0	0	55.437078	9.305069	7	2	2021	0	1
